,lat,lon,gcid,gidx,gidy,pop,node_label
2,12.046924815076567,-1.6002664586213482,18,1.0,3.0,40,2
3,12.055964551310382,-1.6002664586213482,19,1.0,4.0,223,3
4,12.065004281691838,-1.6002664586213482,20,1.0,5.0,135,4
5,12.074044006216813,-1.6002664586213482,21,1.0,6.0,12,5
7,12.092123437680845,-1.6002664586213482,23,1.0,8.0,6,7
13,12.146361591089079,-1.6002664586213482,29,1.0,14.0,7,13
15,12.037885072994518,-1.5910786496118097,32,2.0,2.0,18,15
16,12.046924815076567,-1.5910786496118097,33,2.0,3.0,31,16
17,12.055964551310382,-1.5910786496118097,34,2.0,4.0,46,17
18,12.065004281691838,-1.5910786496118097,35,2.0,5.0,26,18
19,12.074044006216813,-1.5910786496118097,36,2.0,6.0,54,19
20,12.083083724881188,-1.5910786496118097,37,2.0,7.0,7,20
22,12.101163144611663,-1.5910786496118097,39,2.0,9.0,28,22
23,12.110202845669527,-1.5910786496118097,40,2.0,10.0,15,23
26,12.13732191356421,-1.5910786496118097,43,2.0,13.0,12,26
27,12.146361591089079,-1.5910786496118097,44,2.0,14.0,61,27
29,12.037885072994518,-1.5818908406022711,47,3.0,2.0,20,29
30,12.046924815076567,-1.5818908406022711,48,3.0,3.0,19,30
33,12.074044006216813,-1.5818908406022711,51,3.0,6.0,7,33
34,12.083083724881188,-1.5818908406022711,52,3.0,7.0,18,34
35,12.092123437680845,-1.5818908406022711,53,3.0,8.0,14,35
36,12.101163144611663,-1.5818908406022711,54,3.0,9.0,10,36
37,12.110202845669527,-1.5818908406022711,55,3.0,10.0,8,37
43,12.037885072994518,-1.5727030315927326,62,4.0,2.0,14,43
44,12.046924815076567,-1.5727030315927326,63,4.0,3.0,34,44
49,12.092123437680845,-1.5727030315927326,68,4.0,8.0,8,49
50,12.101163144611663,-1.5727030315927326,69,4.0,9.0,23,50
53,12.128282230149916,-1.5727030315927326,72,4.0,12.0,15,53
56,12.02884532506835,-1.563515222583194,76,5.0,1.0,6,56
57,12.037885072994518,-1.563515222583194,77,5.0,2.0,53,57
58,12.046924815076567,-1.563515222583194,78,5.0,3.0,43,58
61,12.074044006216813,-1.563515222583194,81,5.0,6.0,12,61
62,12.083083724881188,-1.563515222583194,82,5.0,7.0,6,62
63,12.092123437680845,-1.563515222583194,83,5.0,8.0,9,63
64,12.101163144611663,-1.563515222583194,84,5.0,9.0,154,64
65,12.110202845669527,-1.563515222583194,85,5.0,10.0,95,65
67,12.128282230149916,-1.563515222583194,87,5.0,12.0,24,67
69,12.146361591089079,-1.563515222583194,89,5.0,14.0,19,69
72,12.046924815076567,-1.5543274135736556,93,6.0,3.0,30,72
73,12.055964551310382,-1.5543274135736556,94,6.0,4.0,35,73
74,12.065004281691838,-1.5543274135736556,95,6.0,5.0,13,74
76,12.083083724881188,-1.5543274135736556,97,6.0,7.0,9,76
77,12.092123437680845,-1.5543274135736556,98,6.0,8.0,23,77
78,12.101163144611663,-1.5543274135736556,99,6.0,9.0,9,78
79,12.110202845669527,-1.5543274135736556,100,6.0,10.0,16,79
81,12.128282230149916,-1.5543274135736556,102,6.0,12.0,10,81
82,12.13732191356421,-1.5543274135736556,103,6.0,13.0,10,82
83,12.146361591089079,-1.5543274135736556,104,6.0,14.0,13,83
84,12.02884532506835,-1.545139604564117,106,7.0,1.0,8,84
86,12.046924815076567,-1.545139604564117,108,7.0,3.0,17,86
87,12.055964551310382,-1.545139604564117,109,7.0,4.0,11,87
88,12.065004281691838,-1.545139604564117,110,7.0,5.0,13,88
92,12.101163144611663,-1.545139604564117,114,7.0,9.0,31,92
93,12.110202845669527,-1.545139604564117,115,7.0,10.0,21,93
95,12.128282230149916,-1.545139604564117,117,7.0,12.0,23,95
96,12.13732191356421,-1.545139604564117,118,7.0,13.0,7,96
100,12.046924815076567,-1.5359517955545785,123,8.0,3.0,9,100
101,12.055964551310382,-1.5359517955545785,124,8.0,4.0,36,101
102,12.065004281691838,-1.5359517955545785,125,8.0,5.0,40,102
104,12.083083724881188,-1.5359517955545785,127,8.0,7.0,25,104
105,12.092123437680845,-1.5359517955545785,128,8.0,8.0,13,105
108,12.119242540850317,-1.5359517955545785,131,8.0,11.0,14,108
109,12.128282230149916,-1.5359517955545785,132,8.0,12.0,6,109
110,12.13732191356421,-1.5359517955545785,133,8.0,13.0,6,110
115,12.055964551310382,-1.52676398654504,139,9.0,4.0,47,115
116,12.065004281691838,-1.52676398654504,140,9.0,5.0,126,116
121,12.110202845669527,-1.52676398654504,145,9.0,10.0,7,121
124,12.13732191356421,-1.52676398654504,148,9.0,13.0,17,124
129,12.055964551310382,-1.5175761775355014,154,10.0,4.0,44,129
130,12.065004281691838,-1.5175761775355014,155,10.0,5.0,14,130
131,12.074044006216813,-1.5175761775355014,156,10.0,6.0,7,131
137,12.128282230149916,-1.5175761775355014,162,10.0,12.0,11,137
141,12.037885072994518,-1.508388368525963,167,11.0,2.0,16,141
142,12.046924815076567,-1.508388368525963,168,11.0,3.0,15,142
143,12.055964551310382,-1.508388368525963,169,11.0,4.0,20,143
144,12.065004281691838,-1.508388368525963,170,11.0,5.0,32,144
148,12.101163144611663,-1.508388368525963,174,11.0,9.0,32,148
149,12.110202845669527,-1.508388368525963,175,11.0,10.0,14,149
150,12.119242540850317,-1.508388368525963,176,11.0,11.0,16,150
151,12.128282230149916,-1.508388368525963,177,11.0,12.0,7,151
152,12.13732191356421,-1.508388368525963,178,11.0,13.0,9,152
154,12.02884532506835,-1.4992005595164244,181,12.0,1.0,6,154
155,12.037885072994518,-1.4992005595164244,182,12.0,2.0,51,155
156,12.046924815076567,-1.4992005595164244,183,12.0,3.0,13,156
157,12.055964551310382,-1.4992005595164244,184,12.0,4.0,6,157
158,12.065004281691838,-1.4992005595164244,185,12.0,5.0,11,158
159,12.074044006216813,-1.4992005595164244,186,12.0,6.0,19,159
160,12.083083724881188,-1.4992005595164244,187,12.0,7.0,6,160
161,12.092123437680845,-1.4992005595164244,188,12.0,8.0,6,161
162,12.101163144611663,-1.4992005595164244,189,12.0,9.0,45,162
166,12.13732191356421,-1.4992005595164244,193,12.0,13.0,10,166
167,12.146361591089079,-1.4992005595164244,194,12.0,14.0,6,167
168,12.02884532506835,-1.4900127505068859,196,13.0,1.0,7,168
169,12.037885072994518,-1.4900127505068859,197,13.0,2.0,11,169
170,12.046924815076567,-1.4900127505068859,198,13.0,3.0,7,170
171,12.055964551310382,-1.4900127505068859,199,13.0,4.0,7,171
172,12.065004281691838,-1.4900127505068859,200,13.0,5.0,12,172
173,12.074044006216813,-1.4900127505068859,201,13.0,6.0,10,173
174,12.083083724881188,-1.4900127505068859,202,13.0,7.0,14,174
175,12.092123437680845,-1.4900127505068859,203,13.0,8.0,31,175
179,12.128282230149916,-1.4900127505068859,207,13.0,12.0,11,179
180,12.13732191356421,-1.4900127505068859,208,13.0,13.0,37,180
181,12.146361591089079,-1.4900127505068859,209,13.0,14.0,99,181
184,12.046924815076567,-1.4808249414973473,213,14.0,3.0,8,184
185,12.055964551310382,-1.4808249414973473,214,14.0,4.0,18,185
186,12.065004281691838,-1.4808249414973473,215,14.0,5.0,19,186
187,12.074044006216813,-1.4808249414973473,216,14.0,6.0,77,187
188,12.083083724881188,-1.4808249414973473,217,14.0,7.0,53,188
189,12.092123437680845,-1.4808249414973473,218,14.0,8.0,10,189
190,12.101163144611663,-1.4808249414973473,219,14.0,9.0,8,190
193,12.128282230149916,-1.4808249414973473,222,14.0,12.0,21,193
194,12.13732191356421,-1.4808249414973473,223,14.0,13.0,96,194
197,12.037885072994518,-1.4716371324878088,227,15.0,2.0,23,197
198,12.046924815076567,-1.4716371324878088,228,15.0,3.0,16,198
199,12.055964551310382,-1.4716371324878088,229,15.0,4.0,11,199
200,12.065004281691838,-1.4716371324878088,230,15.0,5.0,9,200
201,12.074044006216813,-1.4716371324878088,231,15.0,6.0,10,201
203,12.092123437680845,-1.4716371324878088,233,15.0,8.0,10,203
205,12.110202845669527,-1.4716371324878088,235,15.0,10.0,39,205
206,12.119242540850317,-1.4716371324878088,236,15.0,11.0,14,206
207,12.128282230149916,-1.4716371324878088,237,15.0,12.0,6,207
208,12.13732191356421,-1.4716371324878088,238,15.0,13.0,32,208
209,12.146361591089079,-1.4716371324878088,239,15.0,14.0,34,209
210,12.02884532506835,-1.4624493234782703,241,16.0,1.0,10,210
212,12.046924815076567,-1.4624493234782703,243,16.0,3.0,16,212
213,12.055964551310382,-1.4624493234782703,244,16.0,4.0,15,213
215,12.074044006216813,-1.4624493234782703,246,16.0,6.0,40,215
216,12.083083724881188,-1.4624493234782703,247,16.0,7.0,14,216
220,12.119242540850317,-1.4624493234782703,251,16.0,11.0,13,220
223,12.146361591089079,-1.4624493234782703,254,16.0,14.0,28,223
224,12.02884532506835,-1.4532615144687318,256,17.0,1.0,14,224
225,12.037885072994518,-1.4532615144687318,257,17.0,2.0,11,225
229,12.074044006216813,-1.4532615144687318,261,17.0,6.0,23,229
238,12.02884532506835,-1.4440737054591932,271,18.0,1.0,28,238
239,12.037885072994518,-1.4440737054591932,272,18.0,2.0,31,239
240,12.046924815076567,-1.4440737054591932,273,18.0,3.0,13,240
244,12.083083724881188,-1.4440737054591932,277,18.0,7.0,13,244
248,12.119242540850317,-1.4440737054591932,281,18.0,11.0,60,248
253,12.037885072994518,-1.4348858964496547,287,19.0,2.0,6,253
256,12.065004281691838,-1.4348858964496547,290,19.0,5.0,6,256
260,12.101163144611663,-1.4348858964496547,294,19.0,9.0,13,260
262,12.119242540850317,-1.4348858964496547,296,19.0,11.0,66,262
263,12.128282230149916,-1.4348858964496547,297,19.0,12.0,7,263
268,12.046924815076567,-1.4256980874401162,303,20.0,3.0,13,268
271,12.074044006216813,-1.4256980874401162,306,20.0,6.0,10,271
273,12.092123437680845,-1.4256980874401162,308,20.0,8.0,13,273
276,12.119242540850317,-1.4256980874401162,311,20.0,11.0,20,276
277,12.128282230149916,-1.4256980874401162,312,20.0,12.0,6,277
278,12.13732191356421,-1.4256980874401162,313,20.0,13.0,14,278
279,12.146361591089079,-1.4256980874401162,314,20.0,14.0,14,279
